"CODIGO";"DESCRIPCION";"LATITUD";"LONGITUD";"DIRECION";"CP";"POBLACION";"PROVINCIA";"PAIS";"CERCANIAS";"FEVE";"COMUN"
"65000";"VALÈNCIA-ESTACIÓ DEL NORD";"39.4669305";"-0.3772239";"C/ Xativa, 24";"46007";"VALENCIA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";"VALEN"
"65001";"ROCA-CÚPER";"39.5262094";"-0.3238405";"C/ San Isidro S/N";"46550";"MELIANA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65002";"VALÈNCIA-LA FONT DE SANT LLUÍS";"39.4416052";"-0.3714220";"Camino del Molino de las Fuentes S/N, Valencia";"46026";"VALENCIA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65003";"VALÈNCIA-CABANYAL";"39.4702456";"-0.3346772";"Avda. Blasco Ibañez, S/N";"46022";"VALENCIA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65005";"ALBUIXECH";"39.5435233";"-0.3205526";"Avda Virgen de Albuixech, 23";"46550";"ALBUIXECH";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65006";"MASSALFASSAR";"39.5557532";"-0.3183058";"Estación FF.CC. S/N";"46560";"MASSALFASSAR";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65007";"EL PUIG";"39.5883020";"-0.3116645";"Camino de la Estación, S/N";"46540";"PUIG DE SANTA MARIA (EL)";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65008";"PUÇOL";"39.6205367";"-0.3031085";"Carrer Felipe Sebastian S/N, Puçol (Valencia)";"46530";"PUÇOL";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65200";"SAGUNT";"39.6758025";"-0.2715420";"Estación FF.CC. S/N";"46500";"SAGUNTO/SAGUNT";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65201";"LES VALLS";"39.7193457";"-0.2397602";"Cami Vell D' Almenara, S/N";"46500";"SAGUNTO/SAGUNT";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65202";"ALMENARA";"39.7487737";"-0.2183811";"C/ Estación de Ferrocarril, S/N";"12590";"ALMENARA";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65203";"LA LLOSA";"39.7678109";"-0.2029444";"C/ de la Acequia, S/N";"12591";"LLOSA (LA)";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65204";"CHILCHES/XILXES";"39.7826726";"-0.1903295";"Pza. Jardin, S/N";"12592";"CHILCHES/XILXES";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65205";"MONCOFA";"39.8208891";"-0.1626965";"C/ Estación de Ferrocarril, S/N";"12593";"NULES";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65206";"NULES LA VILLAVELLA";"39.8532354";"-0.1527317";"Ramon Lluch S/N";"12520";"NULES";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65207";"BURRIANA-ALQUERÍAS NIÑO PERDIDO";"39.8965088";"-0.1038601";"C/ Estación Ferrocarril, S/N";"12530";"BORRIANA/BURRIANA";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65208";"VILA-REAL";"39.9330935";"-0.0967681";"Avda de Francia 14  16";"12540";"VILA-REAL";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65209";"ALMASSORA";"39.9549079";"-0.0767713";"Ctra. de la Estación, S/N";"12550";"ALMAZORA/ALMASSORA";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65300";"CASTELLÓ DE LA PLANA";"39.9884736";"-0.0523456";"C/pintor Oliet, S/N";"12006";"CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65304";"ORPESA";"40.0922580";"0.13986100";"Pl. L'Estacio Ferrocarril, S/N";"12594";"OROPESA DEL MAR/ORPESA";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65306";"TORREBLANCA";"40.2122110";"0.19877900";"C/ de L'Estacio, 47";"12596";"TORREBLANCA";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65308";"ALCALÁ DE CHIVERT";"40.3046900";"0.22871700";"Passeig Herois del Marroc, S/N";"12570";"ALCALÀ DE XIVERT";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65311";"BENICARLÓ-PEÑÍSCOLA";"40.4276390";"0.41521700";"Pla. Estación Ferrocarril, S/N";"12580";"BENICARLÓ";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65312";"VINARÒS";"40.4716820";"0.45572700";"Pza. Estación Ferrocarril, S/N";"12500";"VINARÒS";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65314";"ULLDECONA-ALCANAR-LA SÉNIA";"40.5959267";"0.44927448";"Passeig de L'Estació, S/N";"43550";"ULLDECONA";"TARRAGONA";"ESPAÑA";"SI";"NO";""
